	8perc/csv/8percA Specimen_RawData_1.csv	8perc/csv/8percA Specimen_RawData_2.csv	8perc/csv/8percA Specimen_RawData_3.csv	8perc/csv/8percA Specimen_RawData_4.csv	8perc/csv/8percA Specimen_RawData_5.csv	8perc/csv/8percA Specimen_RawData_6.csv	8perc/csv/8percB Specimen_RawData_1.csv	8perc/csv/8percB Specimen_RawData_2.csv	8perc/csv/8percB Specimen_RawData_3.csv	8perc/csv/8percB Specimen_RawData_4.csv	8perc/csv/8percB Specimen_RawData_5.csv	8perc/csv/8percB Specimen_RawData_6.csv
31.6			7.39174		6.94834		7.98094	7.2902		6.30982	7.42204	
31.700000000000003			6.96209		6.93514		7.85966	7.21351		6.29193		
31.800000000000004			6.6373		6.87646		7.75825	7.08948				
31.9			6.82612		6.84453		7.67219	7.01605		6.51031	7.26779	
32.1			6.84972		6.77931		7.48267	6.94936		6.79468	7.16633	
32.300000000000004			6.87133		6.68532		7.35601	6.81747				
32.4			6.81776		6.64277		7.27651	6.749		6.87305	6.94137	
32.6			6.74688		6.58494		7.14307	6.66249		6.99303	6.70868	
32.699999999999996			6.65379					6.47552			6.14845	
32.800000000000004			6.61413		6.48989		6.94321	6.39077			6.02787	
32.9			6.5833		6.43533		6.54001	6.19732		7.02899	6.06177	
33.00000000000001			6.61716					6.18602				
33.1			6.63918		6.34665		6.12153	6.21745			6.29004	
33.199999999999996			6.67361		6.26477		6.2711	6.14061			6.39003	
33.300000000000004			6.73586		6.192		6.28136	6.18266			6.57581	
33.4			6.83703		6.12843		6.34391	6.24991			6.65765	
33.50000000000001			6.88028		6.0652		6.35399	6.19841				
33.6			6.86442		6.03832		6.38181	6.27052			6.71654	
33.699999999999996			6.82021		6.0527		6.43493	6.32198			6.73797	
33.800000000000004			6.71644		6.05932		6.54556	6.36428			6.73522	
33.9			6.78085		6.05399		6.61862	6.42717			6.67932	
34.00000000000001			6.75762		6.07694		6.72162	6.44477				
34.1			6.8054		6.11476		6.80769	6.46222			6.66216	
