;lard/csv/oilSpecimen_RawData_1.csv;lard/csv/oilSpecimen_RawData_4.csv;lard/csv/oilSpecimen_RawData_8.csv;lard/csv/oilSpecimen_RawData_5.csv;lard/csv/oilSpecimen_RawData_3.csv;lard/csv/oilSpecimen_RawData_9.csv;lard/csv/oilSpecimen_RawData_6.csv;lard/csv/oilSpecimen_RawData_7.csv;lard/csv/oilSpecimen_RawData_2.csv;lard/csv/oilSpecimen_RawData_10.csv
-1.6499999999999986;0.44896;0.45191;0.49039;0.462775;0.44935;0.49784;0.47279499999999997;0.481205;0.438155;0.49784
-1.6400000000000006;0.44535;0.44794999999999996;0.49085;0.46321;0.44629;0.48956;0.47436;0.48105;0.43823;0.49495
-1.6399999999999988;0.44174;0.44399;0.48912500000000003;0.46651;0.445345;0.485485;0.47888;0.4801933333333333;0.439875;0.49206
-1.6300000000000008;0.437545;0.443585;0.4874;0.46981;0.4444;0.48141;0.4834;0.4793366666666667;0.44152;0.49344
-1.629999999999999;0.43335;0.44318;0.48745499999999997;0.46667000000000003;0.44494500000000003;0.47919500000000004;0.48667;0.47848;0.44343333333333335;0.49482
-1.620000000000001;0.43132000000000004;0.443665;0.48751;0.46353;0.44549;0.47698;0.48994;0.47926;0.44534666666666667;0.49629999999999996
-1.6199999999999992;0.42929;0.44415;0.489185;0.46296499999999996;0.44643666666666665;0.475135;0.49105333333333334;0.48004;0.44726;0.49778
-1.6100000000000012;0.42838;0.44715;0.49086;0.4624;0.44738333333333336;0.47329;0.49216666666666664;0.47906000000000004;0.451005;0.498085
-1.6099999999999994;0.42747;0.45015;0.49003;0.4641733333333333;0.44833;0.47311000000000003;0.49328;0.47808;0.45475;0.49839
-1.6000000000000014;0.425935;0.45294;0.4892;0.4659466666666667;0.451235;0.47293;0.494835;0.476005;0.45677;0.496095
-1.5999999999999996;0.4244;0.45573;0.48837;0.46772;0.45414;0.474465;0.49639;0.47393;0.45879;0.4938
-1.5899999999999999;0.42093;0.45235;0.48958;0.46957;0.45789;0.476;0.49345;0.47352;0.46092;0.49452
-1.58;0.42006;0.44924;0.49678;0.47477;0.46254;0.48247;0.48094;0.47594;0.45895;0.50247
-1.5700000000000003;0.42505;0.45176499999999997;0.49558;0.48024;0.46674;0.48979;0.46864;0.48005;0.45362;0.50337
-1.5699999999999985;0.43004;0.45429;0.494965;0.48272499999999996;0.46421999999999997;0.49155499999999996;0.46931;0.485245;0.45045999999999997;0.5018833333333333
-1.5600000000000005;0.43437;0.457785;0.49435;0.48521;0.4617;0.49332;0.46998;0.49044;0.4473;0.5003966666666667
-1.5599999999999987;0.4387;0.46128;0.49187000000000003;0.48587499999999995;0.45724;0.495755;0.47068;0.48626;0.444635;0.49891
-1.5500000000000007;0.440995;0.461375;0.48939;0.48654;0.45278;0.49819;0.47138;0.48208;0.44197;0.49663
-1.549999999999999;0.44329;0.46147;0.485145;0.483035;0.44809;0.495825;0.47474000000000005;0.4791566666666667;0.439235;0.49435
-1.540000000000001;0.442855;0.46126500000000004;0.4809;0.47953;0.4434;0.49346;0.4781;0.47623333333333334;0.4365;0.49471
-1.5399999999999991;0.44242;0.46106;0.479225;0.47291;0.4420966666666667;0.49301;0.47927333333333333;0.47331;0.43753;0.49507
-1.5300000000000011;0.44174;0.457415;0.47755;0.46629;0.4407933333333333;0.49256;0.4804466666666667;0.47058500000000003;0.43856;0.49622
-1.5299999999999994;0.44106;0.45377;0.47948999999999997;0.463595;0.43949;0.49478500000000003;0.48162;0.46786;0.43959;0.49737
-1.5200000000000014;0.44215499999999996;0.4562;0.48143;0.4609;0.44142499999999996;0.49701;0.48024500000000003;0.46914;0.44077;0.49655499999999997
-1.5199999999999996;0.44325;0.45863;0.48309;0.46201333333333333;0.44336;0.498595;0.47887;0.47042;0.44195;0.49574
-1.5100000000000016;0.44025499999999995;0.46368;0.48475;0.46312666666666663;0.44250999999999996;0.50018;0.47879499999999997;0.47435;0.440515;0.49583
-1.5099999999999998;0.43726;0.46873;0.48641;0.46424;0.44166;0.5000549999999999;0.47872;0.47828;0.43908;0.49592
-1.5;0.43624;0.47186;0.48948;0.4626;0.45061;0.49993;0.48164;0.48139;0.43282;0.49598
-1.4999999999999996;0.43634;0.46994;0.49432;0.462495;0.45444;0.50139;0.481085;0.48014999999999997;0.42867999999999995;0.493465
-1.4900000000000002;0.43644;0.46802;0.49916;0.46239;0.45827;0.50285;0.48053;0.47891;0.42454;0.49095
-1.4800000000000004;0.43926;0.46530499999999997;0.49864;0.45682;0.45845;0.5056;0.4774;0.47126;0.42507;0.489045
-1.4799999999999986;0.44208;0.46259;0.49868500000000004;0.45767;0.46129;0.508565;0.478265;0.47007;0.428715;0.48714
-1.4700000000000006;0.443165;0.46314;0.49873;0.45852;0.46413;0.51153;0.47913;0.46888;0.43236;0.48906000000000005
-1.4699999999999989;0.44425;0.46369;0.49868999999999997;0.46328;0.46379;0.5113449999999999;0.48067499999999996;0.46804;0.43702;0.49098
-1.4600000000000009;0.44306;0.46291;0.49865;0.46804;0.46345;0.51116;0.48222;0.4672;0.44168;0.489595
-1.459999999999999;0.44187;0.46213;0.49133499999999997;0.470725;0.46354999999999996;0.5088699999999999;0.48617;0.46636;0.44240333333333337;0.48821
-1.450000000000001;0.44006999999999996;0.46112;0.48402;0.47341;0.46365;0.50658;0.49012;0.46757;0.44312666666666667;0.491055
-1.4499999999999993;0.43827;0.46011;0.47657499999999997;0.473265;0.46375;0.503185;0.4900333333333333;0.46878;0.44385;0.4939
-1.4400000000000013;0.43606500000000004;0.45840000000000003;0.46913;0.47312;0.459995;0.49979;0.4899466666666667;0.47355499999999995;0.44163;0.496185
-1.4399999999999995;0.43386;0.45669;0.46601333333333333;0.47115666666666667;0.45624;0.49743000000000004;0.48986;0.47833;0.43941;0.49847
-1.4300000000000015;0.434765;0.45406;0.4628966666666667;0.4691933333333333;0.44950999999999997;0.49507;0.488995;0.47824;0.433925;0.49551500000000004
-1.4299999999999997;0.43567;0.45143;0.45978;0.46723;0.44278;0.49517;0.48813;0.47815;0.42844;0.49256
-1.42;0.44544;0.44767;0.46011;0.4662;0.43369;0.49527;0.48746;0.47692;0.4255;0.49344
-1.4100000000000001;0.45113;0.44555;0.47385;0.46549;0.43723;0.48913;0.4901;0.4827;0.42951;0.50634
-1.4000000000000004;0.4527675;0.44605;0.48826;0.4647;0.44324;0.4877;0.4863;0.48451;0.43251;0.5072525
-1.3999999999999995;0.45440499999999995;0.44655;0.48993;0.46392;0.448045;0.49173;0.48473;0.48197;0.433905;0.508165
-1.3999999999999986;0.45768;0.44755;0.490765;0.46353;0.4504475;0.493745;0.48394499999999996;0.4807;0.4346025;0.50999
-1.3900000000000006;0.45994;0.44798;0.4916;0.46314;0.45285;0.49576;0.48316;0.47943;0.4353;0.5053650000000001
-1.3899999999999988;0.4622;0.44841;0.491755;0.46631;0.45435;0.49551999999999996;0.478825;0.47644333333333333;0.43787;0.50074
-1.3800000000000008;0.457675;0.44833999999999996;0.49191;0.46948;0.45585;0.49528;0.47449;0.4734566666666667;0.44044;0.497645
-1.379999999999999;0.45315;0.44827;0.49041500000000005;0.46879000000000004;0.45696499999999995;0.49341999999999997;0.47428000000000003;0.47047;0.44143666666666664;0.49455
-1.370000000000001;0.44908000000000003;0.449295;0.48892;0.4681;0.45808;0.49156;0.47407;0.46687;0.44243333333333335;0.4924
-1.3699999999999992;0.44501;0.45032;0.48857;0.46725;0.4575066666666667;0.48819;0.47419;0.46327;0.44343;0.49025
-1.3600000000000012;0.44283;0.450485;0.48822;0.4664;0.4569333333333333;0.48482;0.47431;0.46656;0.445275;0.4874
-1.3599999999999994;0.44065;0.45065;0.48739333333333335;0.4658933333333333;0.45636;0.48465499999999995;0.47443;0.46985;0.44712;0.48455
-1.3500000000000014;0.44062999999999997;0.45171;0.48656666666666665;0.46538666666666667;0.45338;0.48449;0.475665;0.47262499999999996;0.44935;0.48390999999999995
-1.3499999999999996;0.44061;0.45277;0.48574;0.46488;0.4504;0.48646999999999996;0.4769;0.4754;0.45158;0.48327
-1.3399999999999999;0.43965;0.45642;0.48149;0.46565;0.44968;0.48845;0.47377;0.47588;0.45505;0.49135
-1.33;0.43928;0.45831;0.48185;0.47148;0.45107;0.49455;0.47277;0.47913;0.45788;0.49636
-1.3200000000000003;0.436595;0.456665;0.47764;0.47317;0.45493;0.49963;0.47238;0.4869;0.4541;0.49741
-1.3199999999999985;0.43391;0.45502;0.47716000000000003;0.47265;0.454915;0.498135;0.47528000000000004;0.486925;0.451295;0.4999466666666667
-1.3100000000000005;0.42951;0.45341;0.47668;0.47213;0.4549;0.49664;0.47818;0.48695;0.44849;0.5024833333333334
-1.3099999999999987;0.42511;0.4518;0.47694000000000003;0.47374;0.453785;0.49588;0.48118;0.486585;0.44963;0.50502
-1.3000000000000007;0.42352999999999996;0.453005;0.4772;0.47535;0.45267;0.49512;0.48418;0.48622;0.45077;0.506335
-1.2999999999999994;0.42195;0.45421;0.47792;0.477435;0.45408000000000004;0.49622;0.484005;0.485205;0.45367999999999997;0.5076499999999999
-1.299999999999999;0.41879;0.45662;0.47828000000000004;0.4784775;0.454785;0.49677;0.4839175;0.48486666666666667;0.45513499999999996;0.51028
-1.290000000000001;0.41956499999999997;0.456685;0.47864;0.47952;0.45549;0.49732;0.48383;0.48452833333333334;0.45659;0.5072099999999999
-1.2899999999999991;0.42034;0.45675;0.47937;0.48033000000000003;0.45716666666666667;0.498335;0.4847066666666667;0.48419;0.4567;0.50414
-1.2800000000000011;0.422525;0.45751;0.4801;0.48114;0.4588433333333333;0.49935;0.4855833333333333;0.480825;0.45681;0.50266
-1.2799999999999994;0.42471;0.45827;0.485505;0.47850000000000004;0.46052;0.498895;0.48646;0.47746;0.45692;0.50118
-1.2700000000000014;0.426335;0.45716500000000004;0.49091;0.47586;0.46055;0.49844;0.48406499999999997;0.47628000000000004;0.45529;0.500525
-1.2699999999999996;0.42796;0.45606;0.4932;0.4748866666666667;0.46058;0.499705;0.48167;0.4751;0.45366;0.49987
-1.2600000000000016;0.430925;0.45761;0.49549;0.47391333333333335;0.46030499999999996;0.50097;0.47819;0.47626999999999997;0.455545;0.498715
-1.2599999999999998;0.43389;0.45916;0.49778;0.47294;0.46003;0.50287;0.47471;0.47744;0.45743;0.49756
-1.25;0.44256;0.4668;0.49703;0.47429;0.45327;0.50477;0.46839;0.485;0.45453;0.49545
-1.2400000000000002;0.44012;0.47291;0.49923;0.47438;0.44731;0.50888;0.4644;0.48791;0.45215;0.49385
-1.2300000000000004;0.438655;0.472815;0.49767;0.47561;0.44482;0.49581;0.46433;0.48872;0.45256;0.494575
-1.2299999999999986;0.43719;0.47272;0.4962;0.47458999999999996;0.444855;0.49175;0.46587500000000004;0.48878;0.44835;0.4953
-1.2200000000000006;0.436225;0.47138;0.49473;0.47357;0.44489;0.48769;0.46742;0.48884;0.44414;0.49807999999999997
-1.2199999999999989;0.43526;0.47004;0.49138499999999996;0.467085;0.446295;0.48711000000000004;0.47052;0.49006666666666665;0.439965;0.50086
-1.2100000000000009;0.43955999999999995;0.47226;0.48804;0.4606;0.4477;0.48653;0.47362;0.49129333333333336;0.43579;0.504555
-1.209999999999999;0.44386;0.47448;0.485755;0.457305;0.44943;0.49099000000000004;0.47367;0.49252;0.43655;0.50825
-1.200000000000001;0.446795;0.47254;0.48347;0.45401;0.45116;0.49545;0.47372;0.4917;0.43731000000000003;0.51033
-1.1999999999999993;0.44973;0.4706;0.48134;0.45262;0.45289;0.49656;0.47419999999999995;0.49088;0.43807;0.51241
-1.1900000000000013;0.447805;0.469425;0.47921;0.45123;0.454315;0.49767;0.47444;0.489645;0.43979500000000005;0.51036
-1.1899999999999995;0.44588;0.46825;0.47945000000000004;0.45344;0.45574;0.49606;0.47468;0.48841;0.44152;0.50831
-1.1800000000000015;0.44379;0.467945;0.47969;0.45565;0.45664499999999997;0.49445;0.47248;0.484055;0.44242000000000004;0.5050650000000001
-1.1799999999999997;0.4417;0.46764;0.47993;0.45786;0.45755;0.492855;0.47028;0.4797;0.44332;0.50182
-1.17;0.44372;0.46662;0.47964;0.45992;0.45965;0.49126;0.4635;0.47934;0.44092;0.49451
-1.1600000000000001;0.44348;0.46209;0.48341;0.45678;0.46165;0.49151;0.47349;0.48436;0.44062;0.48948
-1.1500000000000004;0.44467;0.458575;0.48058;0.45597;0.45178;0.49257;0.48083;0.48332;0.43772;0.48912
-1.1499999999999986;0.44586;0.45506;0.48066;0.45619;0.4488;0.48735;0.483535;0.486175;0.436255;0.48876
-1.1400000000000006;0.44454499999999997;0.45774000000000004;0.48074;0.45641;0.44582;0.48213;0.48624;0.48903;0.43479;0.49457999999999996
-1.1399999999999988;0.44323;0.46042;0.48089499999999996;0.456635;0.44316;0.48291;0.48836999999999997;0.4883366666666667;0.436875;0.5004
-1.1300000000000008;0.44321;0.457245;0.48105;0.45686;0.4405;0.48369;0.4905;0.4876433333333333;0.43896;0.5038499999999999
-1.129999999999999;0.44319;0.45407;0.47789;0.45860999999999996;0.438705;0.488835;0.48975;0.48695;0.43771;0.5073
-1.120000000000001;0.44462999999999997;0.454975;0.47473;0.46036;0.43691;0.49398;0.489;0.485155;0.43646;0.506745
-1.1199999999999992;0.44607;0.45588;0.47677;0.462105;0.43815333333333334;0.496;0.4884133333333333;0.48336;0.43521;0.50619
-1.1100000000000012;0.445545;0.45508000000000004;0.47881;0.46385;0.43939666666666666;0.49802;0.4878266666666667;0.480745;0.43883;0.504275
-1.1099999999999994;0.44502;0.45428;0.4799333333333333;0.46391666666666664;0.44064;0.497585;0.48724;0.47813;0.44245;0.50236
-1.1000000000000014;0.4454;0.45552000000000004;0.4810566666666667;0.46398333333333336;0.44155999999999995;0.49715;0.48712;0.478075;0.445635;0.501985
-1.0999999999999996;0.44578;0.45676;0.48218;0.46405;0.44248;0.49700999999999995;0.487;0.47802;0.44882;0.50161
-1.0999999999999992;0.44605;0.46055999999999997;0.48434;0.46329;0.44753;0.49687;0.48313;0.47581;0.450225;0.50015
-1.0899999999999999;0.44632;0.46436;0.4865;0.46253;0.45258;0.49659;0.47926;0.4736;0.45163;0.49869
-1.08;0.44828;0.46582;0.49288;0.46294;0.46104;0.50112;0.47196;0.47291;0.45097;0.49733
-1.0700000000000003;0.44873;0.46182;0.49786;0.46471;0.46784;0.50405;0.4634;0.47669;0.44599;0.49756
-1.0699999999999985;0.44918;0.45782;0.501835;0.46524;0.469835;0.5056350000000001;0.46311;0.47662;0.44579;0.49937000000000004
-1.0600000000000005;0.44708000000000003;0.45682;0.50581;0.46577;0.47183;0.50722;0.46282;0.47655;0.44559;0.5011800000000001
-1.0599999999999987;0.44498;0.45582;0.502965;0.464135;0.468835;0.508025;0.464075;0.476205;0.449125;0.50299
-1.0500000000000007;0.444875;0.46101000000000003;0.50012;0.4625;0.46584;0.50883;0.46533;0.47586;0.45266;0.5055350000000001
-1.049999999999999;0.44477;0.4662;0.49862;0.463055;0.46446;0.5056700000000001;0.466005;0.47579333333333335;0.45668;0.50808
-1.040000000000001;0.4444;0.471115;0.49712;0.46361;0.46308;0.50251;0.46668;0.4757266666666667;0.4607;0.5105
-1.0399999999999991;0.44403;0.47603;0.49512500000000004;0.460475;0.4617;0.499705;0.46808;0.47566;0.4611766666666667;0.51292
-1.0300000000000011;0.44552499999999995;0.477515;0.49313;0.45734;0.45587;0.4969;0.46948;0.475335;0.4616533333333333;0.51064
-1.0299999999999994;0.44702;0.479;0.49349;0.456925;0.45449;0.495305;0.47088;0.47501;0.46213;0.50836
-1.0200000000000014;0.44550999999999996;0.48268;0.49385;0.45651;0.45311;0.49371;0.47021;0.47497;0.46129;0.504985
-1.0199999999999996;0.444;0.48636;0.49273666666666666;0.45794333333333337;0.45173;0.493455;0.46954;0.47493;0.46045;0.50161
-1.0100000000000016;0.44232499999999997;0.4832;0.49162333333333336;0.45937666666666666;0.4521;0.4932;0.46787;0.475375;0.455975;0.501465
