;2perc/csv/2percA Specimen_RawData_3.csv;2perc/csv/2percB Specimen_RawData_5.csv;2perc/csv/2percB Specimen_RawData_4.csv;2perc/csv/2percA Specimen_RawData_1.csv;2perc/csv/2percB Specimen_RawData_3.csv;2perc/csv/2percB Specimen_RawData_1.csv;2perc/csv/2percA Specimen_RawData_2.csv;2perc/csv/2percB Specimen_RawData_2.csv;2perc/csv/2percB Specimen_RawData_6.csv
-0.09999999999999831;-0.01374;-0.04078;-0.022906;0.00349;-0.034359;-0.043616;-0.013411666666666665;-0.0297532;-0.027290833333333334
-0.09999999999999787;-0.0135025;-0.04073833333333333;-0.022178;0.0029575;-0.0347875;-0.0434455;-0.012163333333333333;-0.031006000000000002;-0.027221666666666665
-0.09999999999999742;-0.013265;-0.040696666666666666;-0.02145;0.002425;-0.035323125;-0.043275;-0.010915;-0.033094;-0.0271525
-0.09999999999999698;-0.013027500000000001;-0.040655;-0.020843333333333332;0.00198125;-0.035858749999999995;-0.04313291666666667;-0.010290833333333332;-0.035182;-0.027117916666666665
-0.09999999999999432;-0.01243375;-0.04061333333333333;-0.020236666666666667;0.0015375000000000002;-0.036394375;-0.04299083333333333;-0.009666666666666665;-0.03727;-0.027083333333333334
0.0;-0.01184;-0.040571666666666666;-0.01963;0.00109375;-0.03693;-0.042848750000000005;-0.009042499999999998;-0.037695;-0.02704875
1.7763568394002505e-15;-0.012354375;-0.04053;-0.019023333333333333;0.0006500000000000002;-0.03736;-0.04270666666666667;-0.008418333333333333;-0.038119999999999994;-0.027014166666666665
2.220446049250313e-15;-0.01286875;-0.040488333333333335;-0.018416666666666665;0.00020625000000000027;-0.03779;-0.042564583333333336;-0.007794166666666666;-0.038544999999999996;-0.026979583333333335
2.6645352591003757e-15;-0.013383125;-0.040446666666666665;-0.01781;-0.00023749999999999986;-0.03793333333333333;-0.0424225;-0.007169999999999999;-0.03875749999999999;-0.026945
3.1086244689504383e-15;-0.0138975;-0.040404999999999996;-0.01599;-0.0011249999999999997;-0.03807666666666667;-0.04199625;-0.006545833333333332;-0.03897;-0.026910416666666666
0.09999999999999432;-0.014240416666666667;-0.040363333333333334;-0.01417;-0.0020124999999999995;-0.038220000000000004;-0.04157;-0.005921666666666666;-0.039182499999999995;-0.026875833333333335
0.10000000000000142;-0.014583333333333334;-0.04032166666666667;-0.013784375;-0.0029;-0.03836333333333333;-0.03998875;-0.005297499999999999;-0.03939499999999999;-0.02684125
0.10000000000000187;-0.01492625;-0.04028;-0.013398750000000001;-0.003775;-0.03850666666666667;-0.0384075;-0.004673333333333333;-0.0396075;-0.026806666666666666
0.10000000000000231;-0.015269166666666667;-0.0402175;-0.013013125;-0.0046500000000000005;-0.038650000000000004;-0.03682625;-0.004049166666666666;-0.039819999999999994;-0.026772083333333335
0.10000000000000275;-0.015612083333333334;-0.040155;-0.0126275;-0.005525;-0.038822;-0.035245;-0.0034249999999999992;-0.04007499999999999;-0.0267375
0.1000000000000032;-0.015955;-0.0400925;-0.012319;-0.006050000000000001;-0.038994;-0.033979999999999996;-0.0026759999999999996;-0.04033;-0.026696
0.19999999999999574;-0.0163665;-0.04003;-0.0120105;-0.006575000000000001;-0.039166000000000006;-0.032715;-0.0019269999999999995;-0.040584999999999996;-0.0266545
0.20000000000000195;-0.016778;-0.037445000000000006;-0.011702;-0.0071;-0.039338000000000005;-0.03145;-0.0011779999999999994;-0.04084;-0.026613
0.2000000000000024;-0.0171895;-0.036928;-0.0113935;-0.007625000000000001;-0.03951;-0.030185;-0.0004289999999999997;-0.041095;-0.0265715
0.20000000000000284;-0.017601000000000002;-0.036411000000000006;-0.011085000000000001;-0.008150000000000001;-0.03979666666666667;-0.02892;0.00032;-0.04237;-0.02653
0.2000000000000033;-0.0180125;-0.035894;-0.010776500000000001;-0.008675;-0.04008333333333334;-0.027655000000000002;-0.0017113333333333334;-0.041667499999999996;-0.027436666666666668
0.29999999999999716;-0.02007;-0.035377000000000006;-0.010468000000000002;-0.0092;-0.04037;-0.02639;-0.0037426666666666667;-0.040965;-0.028343333333333335
0.30000000000000204;-0.0195675;-0.03486;-0.0101595;-0.009725000000000001;-0.03743125;-0.025125;-0.0057740000000000005;-0.0402625;-0.02925
